ID,Film,Year,Award,Nomination
613,A Little Romance,1979,1,2
614,Best Boy,1979,1,1
615,Board and Care,1979,1,1
616,Every Child,1979,1,1
617,Paul Robeson: Tribute to an Artist,1979,1,1
618,The Tin Drum,1979,1,1
619,The Black Stallion,1979,0,2
620,The Deer Hunter,1978,5,9
621,Coming Home,1978,3,8
622,Midnight Express,1978,2,6
623,Heaven Can Wait,1978,1,9
624,Days of Heaven,1978,1,4
625,California Suite,1978,1,3
626,The Buddy Holly Story,1978,1,3
627,Death on the Nile,1978,1,1
628,The Flight of the Gossamer Condor,1978,1,1
629,Get Out Your Handkerchiefs,1978,1,1
630,Scared Straight!,1978,1,1
631,Special Delivery,1978,1,1
632,Teenage Father,1978,1,1
633,Thank God It's Friday,1978,1,1
634,Superman,1978,0,3
635,Annie Hall,1977,4,5
636,Star Wars,1977,6,10
637,Julia,1977,3,11
638,Close Encounters of the Third Kind,1977,1,8
639,The Goodbye Girl,1977,1,5
640,A Little Night Music,1977,1,2
641,Gravity Is My Enemy,1977,1,1
642,I'll Find a Way,1977,1,1
643,Madame Rosa,1977,1,1
644,The Sand Castle,1977,1,1
645,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1
646,You Light Up My Life,1977,1,1
647,Rocky,1976,3,10
648,Network,1976,4,10
649,All the President's Men,1976,4,8
650,Bound for Glory,1976,2,6
651,A Star Is Born,1976,1,4
652,Fellini's Casanova,1976,1,2
653,The Omen,1976,1,2
654,Black and White in Color,1976,1,1
655,"Harlan County, USA",1976,1,1
656,In the Region of Ice,1976,1,1
657,Leisure,1976,1,1
658,Number Our Days,1976,1,1
659,King Kong,1976,0,2
660,Logan's Run,1976,0,2
661,One Flew Over the Cuckoo's Nest,1975,5,9
662,Barry Lyndon,1975,4,7
663,Jaws,1975,3,4
664,Dog Day Afternoon,1975,1,6
665,Nashville,1975,1,5
666,Shampoo,1975,1,4
667,The Sunshine Boys,1975,1,4
668,Angel and Big Joe,1975,1,1
669,Dersu Uzala,1975,1,1
670,The End of the Game,1975,1,1
671,Great,1975,1,1
672,The Man Who Skied Down Everest,1975,1,1
673,The Hindenburg,1975,0,3
674,The Godfather: Part II,1974,6,11
675,The Towering Inferno,1974,3,8
676,The Great Gatsby,1974,2,2
677,Chinatown,1974,1,11
678,Murder on the Orient Express,1974,1,6
679,Earthquake,1974,1,4
680,Alice Doesn't Live Here Anymore,1974,1,3
681,Amarcord,1974,1,3
682,Harry and Tonto,1974,1,2
683,Closed Mondays,1974,1,1
684,Don't,1974,1,1
685,Hearts and Minds,1974,1,1
686,One-Eyed Men Are Kings,1974,1,1
687,The Sting,1973,7,10
688,The Exorcist,1973,2,10
689,The Way We Were,1973,2,6
690,Cries and Whispers,1973,1,5
691,A Touch of Class,1973,1,5
692,Day for Night,1973,1,4
693,Paper Moon,1973,1,4
694,The Paper Chase,1973,1,3
695,Save the Tiger,1973,1,3
696,The Bolero,1973,1,1
697,Frank Film,1973,1,1
698,The Great American Cowboy,1973,1,1
699,Princeton: A Search for Answers,1973,1,1
700,The Godfather,1972,3,4
701,Cabaret,1972,8,10
702,The Poseidon Adventure,1972,1,8
703,Travels with My Aunt,1972,1,4
704,Butterflies Are Free,1972,1,3
705,The Candidate,1972,1,2
706,The Discreet Charm of the Bourgeoisie,1972,1,2
707,A Christmas Carol,1972,1,5
708,Limelight,1972,1,6
709,Marjoe,1972,1,1
710,Norman Rockwell's World... An American Dream,1972,1,1
711,This Tiny World,1972,1,1
712,The French Connection,1971,5,8
713,Fiddler on the Roof,1971,3,8
714,The Last Picture Show,1971,2,8
715,Nicholas and Alexandra,1971,2,6
716,Sentinels of Silence,1971,2,2
717,Bedknobs and Broomsticks,1971,1,5
718,Summer of '42,1971,1,4
719,The Garden of the Finzi-Continis,1971,1,2
720,The Hospital,1971,1,2
721,Klute,1971,1,2
722,Shaft,1971,1,2
723,The Crunch Bird,1971,1,1
724,The Hellstrom Chronicle,1971,1,1
725,Patton,1970,7,10
726,Ryan's Daughter,1970,2,4
727,Airport,1970,1,10
728,Love Story,1970,1,7
729,M*A*S*H,1970,1,5
730,Tora! Tora! Tora!,1970,1,5
731,Women in Love,1970,1,4
732,Lovers and Other Strangers,1970,1,3
733,Woodstock,1970,1,3
734,Cromwell,1970,1,2
735,Investigation of a Citizen Above Suspicion,1970,1,2
736,Interviews with My Lai Veterans,1970,1,1
737,Is It Always Right to Be Right?,1970,1,1
738,Let It Be,1970,1,1
739,The Resurrection of Broncho Billy,1970,1,1
740,Midnight Cowboy,1969,3,7
741,Butch Cassidy and the Sundance Kid,1969,4,7
742,"Hello, Dolly!",1969,3,7
743,Z,1969,2,5
744,Anne of the Thousand Days,1969,1,10
745,"They Shoot Horses, Don't They?",1969,1,9
746,Marooned,1969,1,3
747,The Magic Machines,1969,1,2
748,The Prime of Miss Jean Brodie,1969,1,2
749,True Grit,1969,1,2
750,Arthur Rubinstein ��� The Love o,1969,1,1
751,Cactus Flower,1969,1,1
752,Czechoslovakia 1968,1969,1,1
753,It's Tough to Be a Bird,1969,1,1
754,Oliver!,1968,5,11
755,The Lion in Winter,1968,3,7
756,Romeo and Juliet,1968,2,4
757,Funny Girl,1968,1,8
758,2001: A Space Odyssey,1968,1,4
759,Bullitt,1968,1,2
760,The Producers,1967,1,2
761,Rosemary's Baby,1968,1,2
762,The Subject Was Roses,1968,1,2
763,The Thomas Crown Affair,1968,1,2
764,War and Peace,1968,1,2
765,Charly,1968,1,1
766,Journey into Self,1968,1,1
767,Robert Kennedy Remembered,1968,1,1
768,Why Man Creates,1968,1,1
769,Winnie the Pooh and the Blustery Day,1968,1,1
770,Planet of the Apes,1968,0,2
771,In the Heat of the Night,1967,5,7
772,Camelot,1967,3,5
773,Bonnie and Clyde,1967,2,10
774,Guess Who's Coming to Dinner,1967,2,10
775,Doctor Dolittle,1967,2,9
776,The Graduate,1967,1,7
777,Thoroughly Modern Millie,1967,1,7
778,Cool Hand Luke,1967,1,4
